Symbol,Underlying Assets and Securities,Security Name,Date of Listing,Market NIFTY,ISIN Number,Face Value,,,
ICICISILVE,Domestic Price of Silver,ICICIPRAMC - ICICISILVE,31-Jan-2022,1,INF109KC1Y56,10,,,
MAMFGETF,NIFTY India Manufacturing Total Return Index,MIRAEAMC - MAMFGETF,2-Feb-2022,1,INF769K01IB1,50,,,
SILVER,Physical price of Silver,BIRLASLAMC - SILVER,3-Feb-2022,1,INF209KB19F6,1,,,
KOTAKMID50,NIFTY Midcap 50 Index,KOTAKMAMC - KOTAKMID50,4-Feb-2022,1,INF174KA1IB3,10,,,
NETFSILVER,Domestic Price of Silver,NIPPONAMC - NETFSILVER,7-Feb-2022,1,INF204KC1402,10,,,
NETFSILVER,NIFTY India Digital Index,NIPPONAMC - NETFSILVER,7-Feb-2022,1,INF204KC1402,10,,,
MOMOMENTUM,NIFTY 200 Momentum 30 Total Return Index,MOTILALAMC - MOMOMENTUM,17-Feb-2022,1,INF247L01AX7,10,,,
ICICI5GSEC,NIFTY 5 yr Benchmark G-Sec Index,ICICIPRAMC - ICICI5GSEC,10-Mar-2022,1,INF109KC14A8,10,,,
MAM150ETF,Mirae Asset Mutual Fund - Mirae Asset NIFTY Midcap 150 ETF,MIRAEAMC - MAM150ETF,15-Mar-2022,1,INF769K01IC9,5,,,
KOTAKLOVOL,Kotak NIFTY 100 Low Vol 30 ETF,KOTAKMAMC - KOTAKLOVOL,29-Mar-2022,1,INF174KA1IY5,10,,,
MOLOWVOL,NIFTY Midcap 100 TRI,MOTILALAMC - MOLOWVOL,30-Mar-2022,1,INF247L01BA3,10,,,
TNIDETF,NIFTY India Digital Index,TATAAML - TNIDETF,8-Apr-2022,1,INF277KA1364,10,,,
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF,MOTILALAMC - MOHEALTH,4-Aug-2022,1,INF247L01BB1,10,,,
KOTAKCONS,Kotak NIFTY India Consumption ETF,,KOTAKMAMC - KOTAKCONS,4-Aug-2022,1,INF174KA1JE5,10,,
ICICIMOM30,ICICI Prudential NIFTY 200 Momentum 30 ETF,,ICICIPRAMC - ICICIMOM30,10-Aug-2022,1,INF109KC17C7,10,,
HDFCNEXT50,,HDFC NIFTY NEXT 50 ETF,,HDFCAMC - HDFCNEXT50,11-Aug-2022,1,INF179KC1DA9,,418.18
HDFCNIF100,HDFC NIFTY 100 ETF,,HDFCAMC - HDFCNIF100,11-Aug-2022,1,INF179KC1DB7,177.27,,
KOTAKMNC,Kotak NIFTY MNC ETF,,KOTAKMAMC - KOTAKMNC,16-Aug-2022,1,INF174KA1JF2,10,,
MOMENTUM,NIFTY Birla Sun NIFTY NIFTY 200 Momentum 30 ETF,,BIRLASLAMC - MOMENTUM,19-Aug-2022,1,INF209KB14K7,1,,
NIFTYQLITY,NIFTY Birla Sun NIFTY NIFTY 200 Quality 30 ETF,,BIRLASLAMC - NIFTYQLITY,19-Aug-2022,1,INF209KB15K4,1,,
ICICIINFRA,ICICI Prudential NIFTY Infrastructure ETF,,ICICIPRAMC - ICICIINFRA,23-Aug-2022,1,INF109KC16E5,10,,
DSPSILVETF,DSP Silver ETF,,DSPAMC - DSPSILVETF,25-Aug-2022,1,INF740KA1RE3,10,,
MOQUALITY,Motilal Oswal S&P BSE Quality ETF,,MOTILALAMC - MOQUALITY,26-Aug-2022,1,INF247L01BH8,10,,
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,,MOTILALAMC - MOVALUE,26-Aug-2022,1,INF247L01BE5,10,,
HDFCSILVER,HDFC Silver ETF,,HDFCAMC - HDFCSILVER,7-Sep-2022,1,INF179KC1DI2,52.52,,
AXISILVER,Axis Silver ETF,,AXISAMC - AXISILVER,27-Sep-2022,1,INF846K011K1,10,,
HDFCVALUE,HDFC NIFTY50 Value 20 ETF,,HDFCAMC - HDFCVALUE,29-Sep-2022,1,INF179KC1DK8,86.07,,
HDFCGROWTH,HDFC NIFTY Growth Sectors 15 ETF,HDFCAMC - HDFCGROWTH,29-Sep-2022,1,INF179KC1DJ0,,89.04,,
HDFCQUAL,HDFC NIFTY100 Quality 30 ETF,HDFCAMC - HDFCQUAL,29-Sep-2022,1,INF179KC1DL6,38.59,,,
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,,HDFCAMC - HDFCLOWVOL,17-NIFTY-2022,1,INF179KC1DN2,126.18,,
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF,,HDFCAMC - HDFCMOMENT,17-NIFTY-2022,1,INF179KC1DM4,190.61,,
HDFCNIFIT,HDFC NIFTY IT ETF,HDFCAMC - HDFCNIFIT,22-NIFTY-2022,1,INF179KC1DX1,299.92,,,
HDFCPVTBAN,HDFC NIFTY Private Bank ETF,HDFCAMC - HDFCPVTBAN,22-NIFTY-2022,1,INF179KC1DW3,216.75,,,
ICICIFIN,ICICI Prudential NIFTY Financial Services Ex-Bank ETF,ICICIPRAMC-ICICIFIN,30-NIFTY-2022,1,INF109KC17L8,,10,,
KOTAKSILVE,,Kotak Silver ETF,KOTAKMAMC - KOTAKSILVE,14-Dec-2022,1,INF174KA1KU9,,10,
ICICI10GS,ICICI Prudential NIFTY 10 yr Benchmark G-Sec ETF,ICICIPRAMC - ICICI10GS,16-Dec-2022,1,INF109KC18O0,,10,,
EBBETF0433,BHARAT Bond ETF-April 2033,EDELAMC - EBBETF0433,16-Dec-2022,1,INF754K01QX0,1000,,,
