287,"BINANIIND","Binani Industries Limited","BINANIIND.NS"
288,"BIOCON","Biocon Limited","BIOCON.NS"
289,"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited","BIOFILCHEM.NS"
290,"BIRLACABLE","Birla Cable Limited","BIRLACABLE.NS"
291,"BIRLACORPN","Birla Corporation Limited","BIRLACORPN.NS"
292,"BIRLAMONEY","Aditya Birla Money Limited","BIRLAMONEY.NS"
293,"BIRLANU","BirlaNu Limited","BIRLANU.NS"
294,"BLACKBUCK","Zinka Logistics Solutions Limited","BLACKBUCK.NS"
295,"BLAL","BEML Land Assets Limited","BLAL.NS"
296,"BLBLIMITED","BLB Limited","BLBLIMITED.NS"
297,"BLISSGVS","Bliss GVS Pharma Limited","BLISSGVS.NS"
298,"BLKASHYAP","B. L. Kashyap and Sons Limited","BLKASHYAP.NS"
299,"BLS","BLS International Services Limited","BLS.NS"
300,"BLSE","BLS E-Services Limited","BLSE.NS"
301,"BLUECOAST","Blue Coast Hotels Limited","BLUECOAST.NS"
302,"BLUEDART","Blue Dart Express Limited","BLUEDART.NS"
303,"BLUEJET","Blue Jet Healthcare Limited","BLUEJET.NS"
304,"BLUESTARCO","Blue Star Limited","BLUESTARCO.NS"
305,"BODALCHEM","Bodal Chemicals Limited","BODALCHEM.NS"
306,"BOHRAIND","Bohra Industries Limited","BOHRAIND.NS"
307,"BOMDYEING","Bombay Dyeing & Mfg Company Limited","BOMDYEING.NS"
308,"BOROLTD","Borosil Limited","BOROLTD.NS"
309,"BORORENEW","BOROSIL RENEWABLES LIMITED","BORORENEW.NS"
310,"BOROSCI","Borosil Scientific Limited","BOROSCI.NS"
311,"BOSCHLTD","Bosch Limited","BOSCHLTD.NS"
312,"BPCL","Bharat Petroleum Corporation Limited","BPCL.NS"
313,"BPL","BPL Limited","BPL.NS"
314,"BRIGADE","Brigade Enterprises Limited","BRIGADE.NS"
315,"BRITANNIA","Britannia Industries Limited","BRITANNIA.NS"
316,"BRNL","Bharat Road Network Limited","BRNL.NS"
317,"BROOKS","Brooks Laboratories Limited","BROOKS.NS"
318,"BSE","BSE Limited","BSE.NS"
319,"BSHSL","Bombay Super Hybrid Seeds Limited","BSHSL.NS"
320,"BSL","BSL Limited","BSL.NS"
321,"BSOFT","BIRLASOFT LIMITED","BSOFT.NS"
322,"BTML","Bodhi Tree Multimedia Limited","BTML.NS"
323,"BUTTERFLY","Butterfly Gandhimathi Appliances Limited","BUTTERFLY.NS"
324,"BVCL","Barak Valley Cements Limited","BVCL.NS"
325,"BYKE","The Byke Hospitality Ltd","BYKE.NS"
326,"CALSOFT","California Software Company Limited","CALSOFT.NS"
327,"CAMLINFINE","Camlin Fine Sciences Limited","CAMLINFINE.NS"
328,"CAMPUS","Campus Activewear Limited","CAMPUS.NS"
329,"CAMS","Computer Age Management Services Limited","CAMS.NS"
330,"CANBK","Canara Bank","CANBK.NS"
331,"CANFINHOME","Can Fin Homes Limited","CANFINHOME.NS"
332,"CANTABIL","Cantabil Retail India Limited","CANTABIL.NS"
333,"CAPACITE","Capacit'e Infraprojects Limited","CAPACITE.NS"
334,"CAPITALSFB","Capital Small Finance Bank Limited","CAPITALSFB.NS"
335,"CAPLIPOINT","Caplin Point Laboratories Limited","CAPLIPOINT.NS"
336,"CAPTRUST","Capital Trust Limited","CAPTRUST.NS"
337,"CARBORUNIV","Carborundum Universal Limited","CARBORUNIV.NS"
338,"CARERATING","CARE Ratings Limited","CARERATING.NS"
339,"CARRARO","Carraro India Limited","CARRARO.NS"
340,"CARTRADE","Cartrade Tech Limited","CARTRADE.NS"
341,"CARYSIL","CARYSIL LIMITED","CARYSIL.NS"
342,"CASTROLIND","Castrol India Limited","CASTROLIND.NS"
343,"CCCL","Consolidated Construction Consortium Limited","CCCL.NS"
344,"CCHHL","Country Club Hospitality & Holidays Limited","CCHHL.NS"
345,"CCL","CCL Products (India) Limited","CCL.NS"
346,"CDSL","Central Depository Services (India) Limited","CDSL.NS"
347,"CEATLTD","CEAT Limited","CEATLTD.NS"
348,"CEIGALL","Ceigall India Limited","CEIGALL.NS"
349,"CELEBRITY","Celebrity Fashions Limited","CELEBRITY.NS"
350,"CELLO","Cello World Limited","CELLO.NS"
351,"CENTENKA","Century Enka Limited","CENTENKA.NS"
352,"CENTEXT","Century Extrusions Limited","CENTEXT.NS"
353,"CENTRALBK","Central Bank of India","CENTRALBK.NS"
354,"CENTRUM","Centrum Capital Limited","CENTRUM.NS"
355,"CENTUM","Centum Electronics Limited","CENTUM.NS"
356,"CENTURYPLY","Century Plyboards (India) Limited","CENTURYPLY.NS"
357,"CERA","Cera Sanitaryware Limited","CERA.NS"
358,"CEREBRAINT","Cerebra Integrated Technologies Limited","CEREBRAINT.NS"
359,"CESC","CESC Limited","CESC.NS"
360,"CEWATER","Concord Enviro Systems Limited","CEWATER.NS"
361,"CGCL","Capri Global Capital Limited","CGCL.NS"
362,"CGPOWER","CG Power and Industrial Solutions Limited","CGPOWER.NS"
